FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,FAC11_1,FAC12_1,FAC13_1,FAC14_1,FAC15_1,FAC16_1,FAC17_1,FAC18_1,FAC19_1,FAC20_1,FAC21_1,FAC22_1,FAC23_1,FAC24_1,FAC25_1,FAC26_1,FAC27_1,FAC28_1,FAC29_1,FAC30_1,y
0.12817,5.51894,-3.61237,-0.53457,-2.34186,0.99399,-1.62761,4.53367,2.59248,9.05853,0.60634,4.05762,4.02164,1.83523,-1.34302,-0.93400,-1.25834,4.51868,1.72892,-2.31861,-0.72799,-0.32330,1.17465,-3.51029,1.14541,2.13522,-1.19558,-2.12082,1
-0.33004,1.20702,0.25592,-0.02749,0.27816,-0.30946,0.17502,0.62442,-0.10519,-0.29703,0.30159,-0.35993,0.79065,0.31836,0.33711,-1.23212,0.08655,0.71701,0.64432,-0.17207,-0.52139,0.47360,0.99266,0.34532,0.26650,1.38220,0.38148,-0.27129,0
-0.97633,0.63644,1.89642,4.36197,-4.11241,-3.69665,-2.33388,-0.12753,2.05259,-2.31397,0.27000,-1.50449,1.57288,-1.87386,-0.77238,1.57852,-1.42683,4.19267,1.13721,-5.60498,-0.53812,-2.09136,-2.96288,5.77916,-0.64832,1.32417,-0.91768,0.93016,0
0.21384,-0.00130,0.82886,0.82174,0.90841,0.10180,-0.06635,0.80534,-0.50967,1.16895,-0.40000,-0.62702,1.42635,-0.05983,1.17335,-0.69766,-0.75468,1.05675,-0.37127,-0.20495,-1.04022,-0.83039,0.17255,2.25914,0.26715,-0.28191,2.66957,2.95270,0
-0.39603,0.22080,0.37195,0.43286,0.48964,-1.57705,1.25969,0.76458,-0.61753,-0.41109,1.28340,0.00956,-0.42098,-0.60272,1.85170,-0.29408,0.19510,0.21700,0.46616,0.01283,-0.53681,-0.19792,0.82563,0.19624,-0.14170,0.59106,-1.28183,-0.52025,0
-0.26973,0.04326,-1.03467,-0.41281,1.80754,1.67391,-0.20960,1.58762,-0.39341,0.83485,0.57848,-3.42843,0.31137,0.34329,-0.43331,0.11969,0.60925,0.42672,-0.19158,-0.81267,2.01573,-0.86066,-0.74586,-0.46776,1.21721,-1.19359,2.02734,0.94486,0
-0.11604,1.02177,0.18942,0.15996,0.64195,-0.23089,0.31799,0.35131,-0.05384,-0.08751,-0.40021,0.07955,0.69934,-0.38336,0.38704,-0.36780,-0.01104,-0.18083,0.61719,-0.14736,0.43285,0.99517,0.42807,0.25166,0.70412,0.11697,1.33416,0.88395,0
0.98172,1.30636,-0.23593,0.92423,1.84500,-0.50245,0.58597,0.51553,0.34673,3.14526,0.37463,0.09460,-0.32785,0.15652,-0.47937,-0.14872,0.10592,0.60381,0.08654,-0.06840,0.37567,-0.86325,-0.38508,0.82922,-0.74325,-0.08899,-1.57831,-0.55962,1
-0.32725,1.18269,0.26764,0.74004,-0.03670,-0.06174,0.57907,0.31076,0.78323,0.26995,-0.77808,-0.22185,0.59599,0.45714,0.10821,0.93589,0.95942,0.58790,0.23657,-0.06563,-0.21877,1.59823,-0.29246,1.04302,1.13119,-0.19952,0.53477,-0.96666,1
-0.66953,0.84328,-1.11480,-0.78203,0.71295,0.10552,-0.68096,0.70087,-0.05203,0.01543,0.10015,-0.59773,1.20914,1.73323,-1.32346,0.76843,-0.46859,-1.33276,-0.28556,1.95410,0.18368,-0.37161,0.76432,-0.65384,-0.16231,0.17212,0.89093,1.62683,0
-0.18886,0.80840,0.14368,0.32918,0.97434,0.10989,0.50461,0.08826,0.00047,-0.86481,0.72298,-0.45232,0.61103,0.77842,0.45771,-1.05820,0.33112,0.87841,0.06070,-0.47739,-0.16847,0.44524,1.08196,-0.07597,0.13856,1.80635,-0.19733,0.87969,0
2.20782,0.77090,2.11572,1.10676,0.19037,0.43628,-0.91546,1.96879,-0.68179,-0.31597,1.32143,1.24235,-2.07190,1.53736,0.87370,1.78994,-0.78859,2.09520,-0.43780,0.77279,1.66688,-0.45579,-3.42970,1.26701,-0.06910,1.31338,0.59673,2.24514,0
1.56528,1.42804,0.75052,-0.21269,-0.95152,0.63025,-0.39411,1.51155,0.19469,-0.01144,0.94760,0.77512,-2.58536,0.44135,-0.33542,-1.15365,-2.71856,1.24029,0.02686,2.73530,-0.32134,4.32144,-1.36205,-0.75709,0.18871,-0.43044,-1.16510,0.75204,0
-0.28124,1.19110,-0.04896,0.22833,0.22509,-0.61711,0.23825,0.06901,0.27353,-0.55702,-0.01822,0.14005,0.36169,0.09243,0.78448,-0.10092,0.25886,0.13177,0.33329,0.38659,0.24509,0.14375,0.26195,0.09579,-0.35000,-0.32306,-0.58783,-0.46654,1
-1.71278,1.02468,0.72748,-0.20795,-2.30158,-0.57399,-0.11194,0.38887,-0.26081,0.51631,-0.93904,-1.70813,0.48809,-0.55026,0.20432,-0.08144,0.33022,0.44666,0.12269,0.13047,0.55700,-1.07653,-0.12958,0.34581,0.28573,0.91424,2.35900,-1.22227,0
